Hamstring,Precious Achiuwa,Out,C,NYK,5249,Precious,Achiuwa,/basketball/player/precious-achiuwa-5249,<i>Subscribers Only</i>
Knee,Steven Adams,Game Time Decision,C,HOU,3445,Steven,Adams,/basketball/player/steven-adams-3445,<i>Subscribers Only</i>
Knee,Giannis Antetokounmpo,Game Time Decision,F,MIL,3456,Giannis,Antetokounmpo,/basketball/player/giannis-antetokounmpo-3456,<i>Subscribers Only</i>
Wrist,Lonzo Ball,Out,G,CHI,4110,Lonzo,Ball,/basketball/player/lonzo-ball-4110,<i>Subscribers Only</i>
Knee,Mo Bamba,Out,C,LAC,4371,Mo,Bamba,/basketball/player/mo-bamba-4371,<i>Subscribers Only</i>
Oblique,Paolo Banchero,Out,F,ORL,5700,Paolo,Banchero,/basketball/player/paolo-banchero-5700,<i>Subscribers Only</i>
Oblique,Desmond Bane,Game Time Decision,G,MEM,5159,Desmond,Bane,/basketball/player/desmond-bane-5159,<i>Subscribers Only</i>
Orbital,Scottie Barnes,Out,F,TOR,5390,Scottie,Barnes,/basketball/player/scottie-barnes-5390,<i>Subscribers Only</i>
Knee,Emoni Bates,Out,F,CLE,5922,Emoni,Bates,/basketball/player/emoni-bates-5922,<i>Subscribers Only</i>
Knee,Bradley Beal,Game Time Decision,G,PHX,3303,Bradley,Beal,/basketball/player/bradley-beal-3303,<i>Subscribers Only</i>
Knee,Saddiq Bey,Out,F,WAS,5182,Saddiq,Bey,/basketball/player/saddiq-bey-5182,<i>Subscribers Only</i>
Foot,Bojan Bogdanovic,Out,F,BKN,3236,Bojan,Bogdanovic,/basketball/player/bojan-bogdanovic-3236,<i>Subscribers Only</i>
Hamstring,Bogdan Bogdanovic,Out,G,ATL,3593,Bogdan,Bogdanovic,/basketball/player/bogdan-bogdanovic-3593,<i>Subscribers Only</i>
Ankle,Malaki Branham,Game Time Decision,G,SAS,5664,Malaki,Branham,/basketball/player/malaki-branham-5664,<i>Subscribers Only</i>
Knee,Miles Bridges,Out,F,CHA,4383,Miles,Bridges,/basketball/player/miles-bridges-4383,<i>Subscribers Only</i>
Thumb,Malcolm Brogdon,Out,G,WAS,3898,Malcolm,Brogdon,/basketball/player/malcolm-brogdon-3898,<i>Subscribers Only</i>
Knee,Bruce Brown,Out,G,TOR,4403,Bruce,Brown,/basketball/player/bruce-brown-4403,<i>Subscribers Only</i>
Shoulder,Kobe Bufkin,Out,G,ATL,5892,Kobe,Bufkin,/basketball/player/kobe-bufkin-5892,<i>Subscribers Only</i>
Ankle,Jimmy Butler,Out,F,MIA,3231,Jimmy,Butler,/basketball/player/jimmy-butler-3231,<i>Subscribers Only</i>
Ankle,Vlatko Cancar,Game Time Decision,F,DEN,4179,Vlatko,Cancar,/basketball/player/vlatko-cancar-4179,<i>Subscribers Only</i>
Knee,Carlton Carrington,Game Time Decision,G,WAS,6270,Carlton,Carrington,/basketball/player/carlton-carrington-6270,<i>Subscribers Only</i>
Shoulder,Devin Carter,Out,G,SAC,6265,Devin,Carter,/basketball/player/devin-carter-6265,<i>Subscribers Only</i>
Foot,Wendell Carter,Out,C,ORL,4407,Wendell,Carter,/basketball/player/wendell-carter-4407,<i>Subscribers Only</i>
Eye,Anthony Davis,Game Time Decision,C,LAL,3297,Anthony,Davis,/basketball/player/anthony-davis-3297,<i>Subscribers Only</i>
Calf,Kevin Durant,Out,F,PHX,2811,Kevin,Durant,/basketball/player/kevin-durant-2811,<i>Subscribers Only</i>
Ankle,Jalen Duren,Game Time Decision,C,DET,5703,Jalen,Duren,/basketball/player/jalen-duren-5703,<i>Subscribers Only</i>
Wrist,Dante Exum,Out,G,DAL,3568,Dante,Exum,/basketball/player/dante-exum-3568,<i>Subscribers Only</i>
Ankle,Dorian Finney-Smith,Out,F,BKN,3911,Dorian,Finney-Smith,/basketball/player/dorian-finney-smith-3911,<i>Subscribers Only</i>
Foot,Keyonte George,Game Time Decision,G,UTA,5899,Keyonte,George,/basketball/player/keyonte-george-5899,<i>Subscribers Only</i>
Ankle,Collin Gillespie,Game Time Decision,G,PHX,5732,Collin,Gillespie,/basketball/player/collin-gillespie-5732,<i>Subscribers Only</i>
Calf,Aaron Gordon,Out,F,DEN,3577,Aaron,Gordon,/basketball/player/aaron-gordon-3577,<i>Subscribers Only</i>
Hand,Isaiah Hartenstein,Out,C,OKC,4147,Isaiah,Hartenstein,/basketball/player/isaiah-hartenstein-4147,<i>Subscribers Only</i>
Back,Jordan Hawkins,Out,G,NOP,5935,Jordan,Hawkins,/basketball/player/jordan-hawkins-5935,<i>Subscribers Only</i>
Lower Leg,Taylor Hendricks,Out For Season,F,UTA,5903,Taylor,Hendricks,/basketball/player/taylor-hendricks-5903,<i>Subscribers Only</i>
Illness,Richaun Holmes,Out,C,WAS,3755,Richaun,Holmes,/basketball/player/richaun-holmes-3755,<i>Subscribers Only</i>
Achilles,DaRon Holmes,Out For Season,C,DEN,6288,DaRon,Holmes,/basketball/player/daron-holmes-6288,<i>Subscribers Only</i>
Hip,Chet Holmgren,Out,C,OKC,5697,Chet,Holmgren,/basketball/player/chet-holmgren-5697,<i>Subscribers Only</i>
Toe,Al Horford,Game Time Decision,C,BOS,2816,Al,Horford,/basketball/player/al-horford-2816,<i>Subscribers Only</i>
Personal,De'Andre Hunter,Out,F,ATL,4776,De'Andre,Hunter,/basketball/player/deandre-hunter-4776,<i>Subscribers Only</i>
Hip,Andre Jackson,Game Time Decision,F,MIL,5947,Andre,Jackson,/basketball/player/andre-jackson-5947,<i>Subscribers Only</i>
Achilles,Isaiah Jackson,Out For Season,C,IND,5403,Isaiah,Jackson,/basketball/player/isaiah-jackson-5403,<i>Subscribers Only</i>
Foot,GG Jackson,Out,F,MEM,5946,GG,Jackson,/basketball/player/gg-jackson-5946,<i>Subscribers Only</i>
Hand,DaQuan Jeffries,Out,F,CHA,4937,DaQuan,Jeffries,/basketball/player/daquan-jeffries-4937,<i>Subscribers Only</i>
Shoulder,Herbert Jones,Out,F,NOP,5414,Herbert,Jones,/basketball/player/herbert-jones-5414,<i>Subscribers Only</i>
Ankle,Tre Jones,Out,G,SAS,5111,Tre,Jones,/basketball/player/tre-jones-5111,<i>Subscribers Only</i>
Calf,Bobi Klintman,Out,F,DET,5976,Bobi,Klintman,/basketball/player/bobi-klintman-5976,<i>Subscribers Only</i>
Thigh,Vit Krejci,Out,G,ATL,5233,Vit,Krejci,/basketball/player/vit-krejci-5233,<i>Subscribers Only</i>
Shoulder,Jock Landale,Out,C,HOU,4562,Jock,Landale,/basketball/player/jock-landale-4562,<i>Subscribers Only</i>
Knee,Kawhi Leonard,Out,F,LAC,3195,Kawhi,Leonard,/basketball/player/kawhi-leonard-3195,<i>Subscribers Only</i>
Shoulder,Dereck Lively,Game Time Decision,C,DAL,5904,Dereck,Lively,/basketball/player/dereck-lively-5904,<i>Subscribers Only</i>
Ankle,Seth Lundy,Out,G,ATL,6003,Seth,Lundy,/basketball/player/seth-lundy-6003,<i>Subscribers Only</i>
Back,Tre Mann,Game Time Decision,G,CHA,5331,Tre,Mann,/basketball/player/tre-mann-5331,<i>Subscribers Only</i>
Hamstring,Tyrese Maxey,Out,G,PHI,5158,Tyrese,Maxey,/basketball/player/tyrese-maxey-5158,<i>Subscribers Only</i>
Knee,Miles McBride,Game Time Decision,G,NYK,5402,Miles,McBride,/basketball/player/miles-mcbride-5402,<i>Subscribers Only</i>
Thigh,CJ McCollum,Out,G,NOP,3437,CJ,McCollum,/basketball/player/cj-mccollum-3437,<i>Subscribers Only</i>
Knee,Kevin McCullar,Out,F,NYK,5983,Kevin,McCullar,/basketball/player/kevin-mccullar-5983,<i>Subscribers Only</i>
Ankle,Khris Middleton,Out,F,MIL,3356,Khris,Middleton,/basketball/player/khris-middleton-3356,<i>Subscribers Only</i>
Ankle,Malik Monk,Out,G,SAC,4117,Malik,Monk,/basketball/player/malik-monk-4117,<i>Subscribers Only</i>
Hip,Ja Morant,Out,G,MEM,4761,Ja,Morant,/basketball/player/ja-morant-4761,<i>Subscribers Only</i>
Hand,Dejounte Murray,Out,G,NOP,3856,Dejounte,Murray,/basketball/player/dejounte-murray-3856,<i>Subscribers Only</i>
Knee,Andrew Nembhard,Out,G,IND,5679,Andrew,Nembhard,/basketball/player/andrew-nembhard-5679,<i>Subscribers Only</i>
Ankle,Aaron Nesmith,Out,F,IND,5120,Aaron,Nesmith,/basketball/player/aaron-nesmith-5120,<i>Subscribers Only</i>
Ankle,Jusuf Nurkic,Game Time Decision,C,PHX,3580,Jusuf,Nurkic,/basketball/player/jusuf-nurkic-3580,<i>Subscribers Only</i>
Back,Kelly Olynyk,Out,C,TOR,3443,Kelly,Olynyk,/basketball/player/kelly-olynyk-3443,<i>Subscribers Only</i>
Hamstring,Cameron Payne,Game Time Decision,G,NYK,3744,Cameron,Payne,/basketball/player/cameron-payne-3744,<i>Subscribers Only</i>
Foot,Kristaps Porzingis,Out,C,BOS,3669,Kristaps,Porzingis,/basketball/player/kristaps-porzingis-3669,<i>Subscribers Only</i>
Leg,Jason Preston,Out,G,UTA,5429,Jason,Preston,/basketball/player/jason-preston-5429,<i>Subscribers Only</i>
Ribs,Nick Richards,Out,C,CHA,5212,Nick,Richards,/basketball/player/nick-richards-5212,<i>Subscribers Only</i>
Ankle,Mitchell Robinson,Out,C,NYK,4426,Mitchell,Robinson,/basketball/player/mitchell-robinson-4426,<i>Subscribers Only</i>
Knee,Orlando Robinson,Out,C,SAC,5779,Orlando,Robinson,/basketball/player/orlando-robinson-5779,<i>Subscribers Only</i>
Hamstring,Day'Ron Sharpe,Out,C,BKN,5418,Day'Ron,Sharpe,/basketball/player/dayron-sharpe-5418,<i>Subscribers Only</i>
Ankle,Marcus Smart,Game Time Decision,G,MEM,3575,Marcus,Smart,/basketball/player/marcus-smart-3575,<i>Subscribers Only</i>
Illness,Jalen Smith,Game Time Decision,C,CHI,5169,Jalen,Smith,/basketball/player/jalen-smith-5169,<i>Subscribers Only</i>
Thumb,Jeremy Sochan,Out,F,SAS,5702,Jeremy,Sochan,/basketball/player/jeremy-sochan-5702,<i>Subscribers Only</i>
Ankle,Cam Spencer,Out,G,MEM,6297,Cam,Spencer,/basketball/player/cam-spencer-6297,<i>Subscribers Only</i>
Knee,Jaden Springer,Game Time Decision,G,BOS,5407,Jaden,Springer,/basketball/player/jaden-springer-5407,<i>Subscribers Only</i>
Ankle,Isaiah Stewart,Game Time Decision,F,DET,5137,Isaiah,Stewart,/basketball/player/isaiah-stewart-5137,<i>Subscribers Only</i>
Ankle,Max Strus,Out,F,CLE,4947,Max,Strus,/basketball/player/max-strus-4947,<i>Subscribers Only</i>
Ankle,Jayson Tatum,Game Time Decision,F,BOS,4108,Jayson,Tatum,/basketball/player/jayson-tatum-4108,<i>Subscribers Only</i>
Back,Garrett Temple,Game Time Decision,G,TOR,3083,Garrett,Temple,/basketball/player/garrett-temple-3083,<i>Subscribers Only</i>
Illness,Ausar Thompson,Out,F,DET,5932,Ausar,Thompson,/basketball/player/ausar-thompson-5932,<i>Subscribers Only</i>
Knee,Matisse Thybulle,Game Time Decision,F,POR,4802,Matisse,Thybulle,/basketball/player/matisse-thybulle-4802,<i>Subscribers Only</i>
Knee,Nikola Topic,Out For Season,G,OKC,6256,Nikola,Topic,/basketball/player/nikola-topic-6256,<i>Subscribers Only</i>
Ankle,Obi Toppin,Game Time Decision,F,IND,5109,Obi,Toppin,/basketball/player/obi-toppin-5109,<i>Subscribers Only</i>
Back,Gary Trent,Game Time Decision,G,MIL,4433,Gary,Trent,/basketball/player/gary-trent-4433,<i>Subscribers Only</i>
Not Injury Related,P.J. Tucker,Out,F,LAC,2708,P.J.,Tucker,/basketball/player/pj-tucker-2708,<i>Subscribers Only</i>
Foot,Jarred Vanderbilt,Out,F,LAL,4458,Jarred,Vanderbilt,/basketball/player/jarred-vanderbilt-4458,<i>Subscribers Only</i>
Hamstring,Fred VanVleet,Out,G,HOU,3935,Fred,VanVleet,/basketball/player/fred-vanvleet-3935,<i>Subscribers Only</i>
Shoulder,Ja'Kobe Walter,Out,G,TOR,6261,Ja'Kobe,Walter,/basketball/player/jakobe-walter-6261,<i>Subscribers Only</i>
Knee,P.J. Washington,Game Time Decision,F,DAL,4781,P.J.,Washington,/basketball/player/pj-washington-4781,<i>Subscribers Only</i>
Hamstring,Trendon Watford,Out,F,BKN,5358,Trendon,Watford,/basketball/player/trendon-watford-5358,<i>Subscribers Only</i>
Foot,Mark Williams,Out,C,CHA,5647,Mark,Williams,/basketball/player/mark-williams-5647,<i>Subscribers Only</i>
Lower Leg,Vince Williams,Out,F,MEM,5734,Vince,Williams,/basketball/player/vince-williams-5734,<i>Subscribers Only</i>
Hamstring,Jaylin Williams,Out,C,OKC,5690,Jaylin,Williams,/basketball/player/jaylin-williams-5690,<i>Subscribers Only</i>
Hamstring,Zion Williamson,Out,F,NOP,4777,Zion,Williamson,/basketball/player/zion-williamson-4777,<i>Subscribers Only</i>
Achilles,James Wiseman,Out For Season,C,IND,5100,James,Wiseman,/basketball/player/james-wiseman-5100,<i>Subscribers Only</i>
Knee,Christian Wood,Out,C,LAL,3778,Christian,Wood,/basketball/player/christian-wood-3778,<i>Subscribers Only</i>
Achilles,Trae Young,Out,G,ATL,4369,Trae,Young,/basketball/player/trae-young-4369,<i>Subscribers Only</i>
Personal,Cody Zeller,Out,C,ATL,3438,Cody,Zeller,/basketball/player/cody-zeller-3438,<i>Subscribers Only</i>
